,order_type,procedure_name,count(*)
989,Diet,DIET GLUTEN FREE,204
990,Lab,EXTRA TUBE (PINK),202
991,Nursing,STRAIN ALL URINE,201
992,Lab,PTH RELATED PROTEIN,199
993,Nursing Transfusion,TRANSFUSE RED BLOOD CELLS IN ML,199
994,Nursing,PHYSICIAN REMINDER TO ORDER/SCHEDULE A,199
995,Respiratory Care,MECHANICAL VENT PER RT,197
996,Nursing,ONCOLOGY TREATMENT PARAMETERS B,196
997,Imaging,US ASPIRATION PLEURA LEFT,195
998,Nursing,SHOWER WITH WOUND OPEN,192
999,Nursing,APPLICATION LONG ARM SPLINT,192
1000,External Education,EDUCATION DIABETES - FOOT CARE - EMMI,191
1001,Imaging,MRI FOOT WO CONTRAST RIGHT,191
1002,Imaging,US GB AND PANCREAS,190
1003,General Supply,CRUTCHES,189
1004,Imaging,PET TUMOR IMG W CT WHOLE BODY,188
1005,Nursing,"FOLLOW PW NEU: STROKE, SUBARACHNOID HEMORRHAGE PATHWAY",188
1006,Lab,BETA 2 GLYCOPROTEIN I ANTIBODIES,188
1007,Lab,T4 TOTAL,187
1008,Imaging,CT SINUS FACIAL BONES W CONTRAST,187
1009,Blood Bank,"DIRECT COOMBS, NEONATAL",186
1010,Lab,PROGESTERONE,186
1011,Respiratory Care,"MECHANICAL VENTILATION, NON-INVASIVE",186
1012,Nursing,PHYSICIAN REMINDER TO ORDER/SCHEDULE B,185
1013,Imaging,CT DRAINAGE LUNG LEFT,185
1014,Imaging,CT DRAINAGE LUNG RT,185
1015,Lab,PLACENTAL ALPHA MICROGLOBULIN -1,184
1016,Lab,"HEPATITIS A AB, TOTAL",184
1017,Procedures,PARENCENTESIS,183
1018,Lab,GLUCOSE TOLERANCE 1 HR GESTATIONAL,182
1019,Nursing,"FOLLOW INTERDIS PW: COPD - ADULT, ADMIT TO MED SURG PATHWAY",180
1020,Nursing,WHEELCHAIR PRIVILEGE,179
1021,Imaging,CT BIOPSY LIVER,179
1022,Immunization/Injection,SKIN TEST TB,178
1023,Imaging,MRI FOOT WO CONTRAST LEFT,178
1024,Nursing,"FOLLOW INTERDIS PW: CELLULITIS, ADULT - ADMIT TO MED SURG PATHWAY",178
1025,Lab,IGA,178
1026,Imaging,CT ABDOMEN W CONTRAST,178
1027,Respiratory Care,RT ASSESS AND TREAT IN ED,177
1028,Nursing,FOLLOW INTERDIS PW: RESPIRATORY FAILURE NON-INVASIVE MECHANICAL VENTILATION (NPPV/CPAP),177
1029,Nursing,"FOLLOW INTERDIS PW: DKA/HHS, ADULT ADMISSION PATHWAY",176
1030,Imaging,CT GUIDED ASPIRATION,176
1031,Respiratory Care,POSITIVE AIRWAY PRESSURE TREATMENT,175
1032,Ophthalmology,EYE IRRIGATION,175
1033,Lab,CREATININE CLEARANCE,174
1034,Imaging,XR CERVICAL SPINE 1 VW,174
1035,Blood Bank,DIRECT COOMBS IGG,174
1036,Lab,"LIPASE, BODY FLUID",174
1037,Lab,"WEST NILE VIRUS ANTIBODY PANEL, CSF",173
1038,Imaging,XR FACIAL BONES 3+ VW,172
1039,Imaging,XR CLAVICLE RIGHT,171
1040,Lab,COMPLEMENT C3/C4 PANEL,170
1041,Nursing,FOLLOW INTERDIS PW: SEPTIC SHOCK PATHWAY,169
1042,Imaging,CTA CHEST ABD PELVIS W WO CONTRAST,169
1043,Imaging,XR SHOULDER 1 VW LEFT,168
1044,Nursing,"EDUCATION, PROPOSED PROCEDURE",167
1045,Imaging,CTA CHEST + ABD/PEL W CONTRAST,166
1046,Imaging,XR CHEST LATERAL DECUBITUS BI,166
1047,Imaging,CT ABD W + PELVIS W WO,166
1048,Lab,INSULIN LEVEL,165
1049,IV,DISCONTINUE MIDLINE IV,165
1050,Lab,LAMOTRIGINE LEVEL,164
1051,Lab,"IGG/ALBUMIN RATIO, CSF",163
1052,Lab,DRUG CONFIRMATION REQUEST,162
1053,Consult,IP CONSULT TO SKILLED NURSING FACILITY,162
1054,Lab,HEPATITIS B CORE IGM,162
1055,Imaging,US GUIDED ASPIRATION,161
1056,Respiratory Care,PEEP TITRATION,161
1057,Blood Bank,DIRECT COOMBS C3,160
1058,Microbiology,"CRYPTOCOCCAL ANTIGEN, BLOOD",159
1059,Nursing,FOLLOW INTERDIS PW: COLECTOMY POST OP,159
1060,Lab,"POTASSIUM, RANDOM URINE",159
1061,Imaging,CT HIP WO CONTRAST LEFT,159
1062,Nursing,DEBRIDE WOUND,158
1063,Imaging,NM LUNG SCAN PERFUS IMG,158
1064,Microbiology,VRE SURVEILLANCE SCREEN,158
1065,Lab,ERYTHROPOIETIN LEVEL,158
1066,Restraints,"RESTRAINT,VIOLENT/SELF DESTR (18&UP)",157
1067,Microbiology,GC PROBE,157
1068,Imaging,XR UPR GI AIR CONTRAST,156
1069,Imaging,MRA VENOUS HEAD WO CONTRAST,156
1070,Respiratory Care,"OXYGEN, NASAL CANNULA HIGH FLOW",156
1071,External Education,EDUCATION BREASTFEEDING - EMMI,155
1072,Lab,VARICELLA ZOSTER IGG,154
1073,Point of Care Testing,POC NITRAZINE/PH,154
1074,Consult,IP CONSULT TO ETHICS RESOURCE,154
1075,Imaging,IR FISTULOGRAM,154
1076,Nursing,PHYSICIAN REMINDER TO ORDER/SCHEDULE C,152
1077,Imaging,XR UPR GI,152
1078,Respiratory Care,"OXYGEN,AEROSOL MASK",152
1079,Imaging,XR HAND 3+ VW BILAT,151
1080,Consult to OB/GYN,IP CONSULT TO OB GYN,150
1081,Lab,ALDOSTERONE,149
1082,Lab,EHRLICHIA ANTIBODY,148
1083,Lab,GLUCOSE TOLERANCE GESTATIONAL 3 HR,148
1084,Procedures,REMOVAL OF FOREIGN BODY ORIFICE,147
1085,Imaging,MRI FOOT W WO CONTRAST LEFT,146
1086,Lab,CANCER ANTIGEN 27-29,146
1087,Imaging,CT HIP WO CONTRAST RIGHT,144
1088,Lab,RENIN,144
1089,Lab,"BILIRUBIN, TOTAL, CORD BLOOD",144
1090,Blood Bank,ANTIGEN TYPE,144
1091,Lab,"DRUG SCREEN, MECONIUM",144
1092,Imaging,XR SPINE SCOLIOSIS SUP & ERECT,143
1093,Respiratory Care,WEANING PARAMETERS,142
1094,Nursing,ARTERIAL BLOOD PRESSURE MONITORING,142
1095,Lab,ASPERGILLUS ANTIBODIES,142
1096,Procedures,ARTHROCENTESIS,142
1097,Lab,"EXTRA TUBE (OTHER, SPECIFY)",141
1098,Respiratory Care,PEAK FLOW,141
1099,Precaution,NEUTROPENIC PRECAUTIONS,140
1100,Nursing,APPLICATION FINGER SPLINT STATIC,140
1101,Imaging,MRI FOOT W WO CONTRAST RIGHT,139
1102,Imaging,MRI ABDOMEN W WO CONTRAST,138
1103,Lab,HISTOPLASMA ANTIBODY,138
1104,IV,INSERT UMBILICAL ARTERIAL CATH,138
1105,Imaging,XR SHUNT SERIES,137
1106,Lab,DNA AUTOABS DOUBLE STRANDED,136
1107,Lab,CD4 COUNT AND T4T8 RATIO,136
1108,Nursing,FOLLOW PW MED: SEPTIC SHOCK EARLY GOAL DIRECTED THERAPY PATHWAY,135
1109,Blood Bank,TRANSFUSION REACTION WORKUP,135
1110,Imaging,XR FOOT 3+ VW BILAT,135
1111,Imaging,CT KNEE WO CONTRAST LEFT,135
1112,Imaging,XR CERVICAL SPINE 4 OR 5 VIEWS,134
1113,Procedures,MODERATE SEDATION,134
1114,Blood Bank,ELUTION,134
1115,Blood Bank,PRODUCT NEONATE PLATELETS,134
1116,Lab,"OCCULT BLOOD, GASTRIC FLUID",134
1117,Imaging,XR CHEMO INJ FLUORO NEEDLE GUID SPINE,133
1118,Lab,ETHYLENE GLYCOL LEVEL,133
1119,Lab,HEPATITIS C GENOTYPE,133
1120,PT,PT CUSTOM ORTHOTICS,132
1121,Imaging,XR CHEST LAT,132
1122,Nursing,TRACHEOTOMY TRAY TO BEDSIDE,132
1123,Imaging,XR SPINE SURVEY 2 VW,130
1124,Lab,IGM,130
1125,Lab,"PROTEIN ELECTROPHORESIS, CSF",130
1126,PFT,PULMONARY FUNCTION TEST,130
1127,Lab,THEOPHYLLINE LEVEL,128
1128,Imaging,US APPENDIX,128
1129,Imaging,CT BIOPSY LUNG RIGHT,127
1130,Lab,EOSINOPHIL SMEAR,127
1131,Imaging,XR VIDEO SWALLOW,127
1132,Lab,CHROMOGRANIN A,126
1133,Imaging,CT CHEST ABDOMEN W CONTRAST,125
1134,Lab,"ANGIOTENSIN CONVERTING ENZYME, CSF",124
1135,Point of Care Testing,POC URINALYSIS DIPSTICK NON AUTOMATED,124
1136,Imaging,US LIVER SPLEEN,123
1137,Imaging,XR UPR GI SM BOWEL WATER SOL CONT,123
1138,Lab,PNEUMONITIS HYPERSENSITIVITY PANEL,123
1139,Nursing,REPLOGLE TUBE MAINTENANCE,122
1140,External Education,EDUCATION POSTPARTUM DEPRESSION - EMMI,122
1141,Nursing,STOOL COUNT,122
1142,Lab,ALKALINE PHOSPHATASE,121
1143,Nursing,FOLLOW INTERDIS PW: GI OBSTRUCTION NON-SURGICAL (BOWEL OBSTRUCT OR ILEUS)PW,121
1144,Lab,EBV BY PCR,121
1145,Lab,EXTRA TUBE (GREEN NO GEL),120
1146,Lab,"HISTOPLASMA ANTIGEN, URINE",120
1147,Imaging,CT BIOPSY LUNG LEFT,120
1148,Lab,"LEGIONELLA SPECIES BY PCR, NON BLOOD",120
1149,Lab,PNEUMOCYSTIS JIROVECI BY PCR,119
1150,ECG,EKG PEDIATRIC,118
1151,Lab,METHANOL LEVEL,118
1152,Lab,"CHOLESTEROL, BODY FLUID",117
1153,Lab,"BILIRUBIN, BODY FLUID",117
1154,Imaging,XR BONE SURVEY COMPLETE,117
1155,SLP,SLP PASSY MUIR VALVE,117
1156,Nursing,FOLLOW INTERDIS PW: LAPAROSCOPIC CHOLECYSTECTOMY PATHWAY,116
1157,Isolation,CONTACT AND AIRBORNE ISOLATION,116
1158,Nursing,EYE FLUORSCEIN STRIP TO BEDSIDE,115
1159,Point of Care Testing,POC PROTIME/INR,115
1160,Consult,IP CONSULT TO NEONATOLOGY,114
1161,Lab,PARVOVIRUS B19 AB IGG/IGM,114
1162,Consult,IP CONSULT TO PSYCHOLOGY,114
1163,External Education,EDUCATION CHILDBIRTH - EMMI,114
1164,Lab,ACTH,114
1165,Imaging,CT CHEST HIGH RESOLUTION,113
1166,Nursing,VAGINAL EXAM,113
1167,Lab,ANGIOTENSIN CONVERTING ENZYME,112
1168,Imaging,US UPR EXT VEN DUPLEX COMP BILAT,112
1169,Nursing,LAB COLLECTION COMMUNICATION ORDER B,112
1170,Nursing,MUST BE UP FOR MEALS,111
1171,Procedures,SUTURE REMOVAL,111
1172,Imaging,XR SINUSES 3+ VW,109
1173,Imaging,CTA HEAD W WO + CT CEREBRAL PERFUSION,109
1174,Lab,TACROLIMUS LEVEL,109
1175,Imaging,CT GUIDED NEEDLE PLACEMENT,109
1176,Imaging,CT HEAD W CONTRAST,109
1177,OT,OT RE-EVALUATE PERIODIC,108
1178,Imaging,CT HEAD CERVICAL SPINE WO CONTRAST,108
1179,Imaging,CT ORBITS WO CONTRAST,108
1180,Lab,"ENTEROVIRUS BY PCR, NON-BLOOD",108
1181,Lab,JAK2 MUTATION,107
1182,Procedures,CHEST TUBE INSERTION,107
1183,Lab,PI LINKED ANTIGEN,107
1184,Imaging,XR CHEST LATERAL DECUBITUS LEFT,107
1185,Imaging,MRA VENOUS HEAD W WO CONTRAST,106
1186,Outpatient Referral,AMB REFERRAL TO GENERAL SURGERY,106
1187,Lab,MYOGLOBIN,106
1188,Imaging,XR SKULL LESS THAN 4 VW,106
1189,Lab,CMV IGG,106
1190,Nursing,APPLY WOUND VACUUM,105
1191,Consult to Surgery,IP CONSULT TO ORAL SURGERY,105
1192,Imaging,XR ANKLE 3+ VW BILAT,105
1193,Lab,IGG/ALBUMIN RATIO,105
1194,Consult to Surgery,IP CONSULT TO VASCULAR SURGERY,105
1195,Blood Bank,PRODUCT FFP FOR THERAPEUTIC EXCHANGE,105
1196,Imaging,US DUPLEX ARTERIAL ARM LEFT,104
1197,Nursing Transfusion,TRANSFUSE FRESH FROZEN PLASMA IN ML,104
1198,Lab,HEMOGLOBIN ELECTROPHORESIS,104
1199,Lab,VWF PROTEASE ACT W RFLX TO PROTEASE INHIB,103
1200,Lab,"HIV 1 RNA, QUANTITATIVE",103
1201,Lab,IGG SYNTHESIS INDEX,103
1202,Lab,COCCIDIODES ANTIBODY,102
1203,Outpatient Referral,AMB REFERRAL TO PHYSICAL THERAPY,102
1204,Imaging,XR SHOULDER 2+ VW BILAT,102
1205,Respiratory Care,NPPV BIPAP WITH NASAL MASK,101
1206,Procedures,REMOVAL OF NAIL PLATE,101
1207,Lab,"CMV BY PCR, NON BLOOD",101
1208,Imaging,CT CHEST ABDOMEN WO CONT,101
1209,Imaging,MRI PELVIS WO CONTRAST,100
1210,Nursing,SUPPLIES/KIT TO BEDSIDE,99
1211,Imaging,CT KNEE WO CONTRAST RIGHT,99
1212,Imaging,XR WRIST 3+ VW BILAT,98
1213,Nursing,CLAMP TUBE,98
1214,OB,VAG PACK REMOVE,98
1215,Lab,HEXAGONAL PHASE CONFIRMATION,98
1216,Lab,GENTAMICIN LEVEL RANDOM,98
1217,Equipment,BED RENTAL CLINITRON RITE-HITE,97
1218,Nursing,DISCONTINUE PERIPHERAL ARTERIAL CATHETER,97
1219,Lab,"HSV BY PCR, CSF",97
1220,Imaging,XR CYSTOGRAM,97
1221,Lab,BCR/ABL BY PCR,97
1222,Lab,"CREATININE CLEARANCE, SERUM",97
1223,GU Procedure,URINARY REFLEX STUDY,97
1224,Imaging,XR HIPS BI 2 VW W AP PELVIS,96
1225,Lab,HSV TYPE 1 AND 2 AB IGG/IGM,96
1226,Imaging,US BIOPSY LIVER,96
1227,Lab,"CREATININE CLEARANCE,URINE",95
1228,Imaging,XR UPR GI TRACT + KUB,94
1229,Lab,DRVVT CONFIRMATION,94
1230,OB,BIOPHYSICAL PROFILE,93
1231,Consult,IP CONSULT TO ENDOCRINOLOGY,93
1232,Imaging,XR TIBIA AND FIBULA 2 VW BILAT,92
1233,Lab,"SPECIFIC GRAVITY, RANDOM URINE",92
1234,Procedures,REMOVAL OF FOREIGN BODY EYE,92
1235,Nursing,INTERROGATE DEVICE - CALL DEVICE REP,92
1236,Diet,DIET LACTOSE RESTRICTED,92
1237,Lab,"MICROALBUMIN/CREATININE RATIO, RANDOM UR",92
1238,PFT,"PULSE OXIMETRY, WITH EXERCISE",91
1239,Outpatient Referral,AMB REFERRAL TO WOUND CLINIC,91
1240,Microbiology,THROAT CULTURE,91
1241,Lab,TRANSGLUTAMINASE IGA ANTIBODY,91
1242,Respiratory Care,"OXYGEN,NONREBREATHER MASK",91
1243,Nursing,CHANGE WOUND  DRESSING,90
1244,Lab,"GC, URINE",89
1245,IV,DISCONTINUE SALINE LOCK,89
1246,Lab,CMV CULTURE,89
1247,Imaging,XR THORACOLUMBAR SPINE MIN 2 VW,89
1248,Nursing,MUCOUS MEMBRANE ASSESS AND SUCTION,88
1249,Lab,BLEEDING TIME/PLATELET FUNCTION,87
1250,Consult to Surgery,IP CONSULT TO PLASTIC SURGERY,87
1251,Procedures,DRAIN/INJECT JOINT,87
1252,Blood Bank,ANTIBODY TITER,87
1253,Imaging,CTA NECK W WO CONTRAST,87
1254,Consult,IP CONSULT TO NEUROPSYCHOLOGY,86
1255,Lab,EHRLICHIA BY PCR,86
1256,External Education,EDUCATION SMOKING CESSATION - THINKING ABOUT QUITTING SMOKING,86
1257,Imaging,US BPP WO NST + OB LTD,86
1258,Lab,"METANEPHRINES FRACTIONATED, PLASMA",86
1259,Imaging,US DUPLEX ARTERIAL ARM RIGHT,86
1260,Lab,BLASTOMYCES ANTIBODY,86
1261,Imaging,US PELVIS + DOPPLER,85
1262,Imaging,US LIVER PANCREAS,85
1263,Imaging,MRI BRAIN WO CONT W SPECT,85
1264,Lab,MALARIA SMEAR,85
1265,Blood Bank,ANTIBODY IDENTIFICATION ELUATE,84
1266,Lab,CELIAC DISEASE ANTIBODIES,84
1267,Imaging,CT LUMBAR SPINE W WO CONTRAST,83
1268,Respiratory Care,NPPV BIPAP WITH NASAL PRONGS,83
1269,Nursing,FOLLOW UP,82
1270,Imaging,XR BARIUM ENEMA,82
1271,Lab,"DRUG SCREEN, SERUM",82
1272,Imaging,CT BIOPSY BONE,82
1273,Respiratory Care,NEBULIZER CONTINUOUS,82
1274,Consult to Surgery,IP CONSULT TO HAND SURGERY,82
1275,Imaging,US OB LTD 1 OR MORE FETUS + TV,81
1276,Nursing,TURN COUGH DEEP BREATHE,81
1277,Microbiology,MISCELLANEOUS CULTURE,81
1278,Nursing,ONCOLOGY NURSING COMMUNICATION B,81
1279,Lab,MYASTHENIA GRAVIS EVALUATION,81
1280,Lab,PROINSULIN,81
1281,Imaging,XR FOOT 2 VW RIGHT,81
1282,Imaging,IR VENOUS ABDOMINAL,81
1283,Lab,"HEAVY METAL SCREEN, BLOOD",80
1284,ECHO,ECHOCARDIOGRAM TEE WITH BUBBLE STUDY,80
1285,Lab,ANA PANEL COMPREHENSIVE,80
1286,Lab,ALDOLASE,80
1287,ECG,ECG REPORT,79
1288,Microbiology,HERPES SIMPLEX/VARICELLA ZOSTER DETECTION,79
1289,Lab,HCG BETA TUMOR MARKER,79
1290,Imaging,CT SHOULDER WO CONTRAST RIGHT,79
1291,Nursing,PULL ARTERIAL SHEATH,78
1292,Isolation,ENTERIC CONTACT AND DROPLET ISOLATION,78
1293,Imaging,CT DRAINAGE PERITONEAL,78
1294,Lab,TOPIRAMATE LEVEL,78
1295,Imaging,IR ARTERIOGRAM EXT UPR,78
1296,Pathology,FLOW CYTOMETRY PANEL,77
1297,Lab,"IMMUNOFIXATION, 24 HR URINE",77
1298,Nursing,FOLLOW INTERDIS PW: HEART FAILURE-ADMIT TO TELEMETRY AND MED SURG,77
1299,Procedures,REMOVE IMPACTED EAR WAX,76
1300,Microbiology,PLACENTA CULTURE WITH GRAM STAIN,76
1301,Consult,IP CONSULT TO OPHTHALMOLOGY,76
1302,Imaging,MRI SHOULDER WO CONTRAST RIGHT,76
1303,Respiratory Care,"OXYGEN,FACE HOOD",76
1304,Lab,OXCARBAZEPINE LEVEL,75
1305,Outpatient Referral,AMB REFERRAL TO ENDOCRINOLOGY,75
1306,Lab,"OCCULT BLOOD GUAIAC SCREEN, 1-3 CARDS",75
1307,Lab,"AMPHETAMINE, QUANTITATIVE URINE",75
1308,Diet,DIET CHOLESTEROL RESTRICTED,74
1309,Lab,THROMBIN TIME,74
1310,Imaging,US ABD PELV ART VEIN COMP,74
1311,Lab,HSV BY PCR,74
1312,Lab,TRANSFERRIN,73
1313,Imaging,CT SHOULDER WO CONTRAST LEFT,73
1314,Nursing,REPLOGLE TUBE INSERTION,72
1315,Lab,"5 HIAA QUANTITATIVE, 24HR URINE",72
1316,Imaging,US VEN DOPPLER MAPPING LEGS BILAT,72
1317,Imaging,XR FLUORO CENTRAL VENOUS ACCESS,72
1318,Lab,MYCOPLASMA PNEUMONIAE DNA PCR,72
1319,Procedures,NERVE BLOCK,72
1320,Imaging,MRI KNEE WO CONTRAST LEFT,71
1321,IV,DISCONTINUE UMBILICAL ARTERIAL CATH,71
1322,Imaging,MRA NECK W CONTRAST,71
1323,Nursing,TRACH CARE,71
1324,Nursing,FOLLOW PW MED: 23 HOUR OBSERVATION: SYNCOPE PATHWAY,70
1325,Respiratory Care,"OXYGEN,SIMPLE FACE MASK",70
1326,Lab,BILE ACIDS FRACTIONATED AND TOTAL,70
1327,PT,PT BEDSIDE PHYSICAL THERAPY,70
1328,External Education,EDUCATION PAIN RELIEF FOR CHILDBIRTH - EMMI,70
1329,Outpatient Referral,AMB REFERRAL TO ORTHOPEDIC SURGERY,70
1330,Transfer,ED PLACE PATIENT AS OUTPATIENT,70
1331,Blood Bank,"DIRECT COOMBS, NEWBORN",70
1332,Imaging,CT ABDOMEN W WO CONT PELVIS W CONT,69
1333,Respiratory Care,BODY FLUID PH COLLECTION,69
1334,Outpatient Referral,AMB REFERRAL TO UROLOGY,69
1335,Lab,VITAMIN B1 LEVEL,69
1336,Imaging,US PELVIS LIMITED NON OB,69
1337,Lab,GASTRIN,69
1338,Nursing,DISIMPACTION,68
1339,Nursing,FLAP CHECK,68
1340,Imaging,XR FEMUR 2 VW BILAT,68
1341,Nursing,CPAP MASK,68
1342,Imaging,IR ARTERIOGRAM NECK,68
1343,Nursing,DISCHARGE DIET,68
1344,Nursing,SPACER FOR USE WITH INHALERS,68
1345,Outpatient Referral,AMB REFERRAL TO CARDIOLOGY,68
1346,Lab,HELICOBACTER PYLORI IGG,68
1347,Imaging,CT LOW EXT WO CONTRAST RIGHT,67
1348,Nursing,ACTIVE RANGE OF MOTION,67
1349,Respiratory Care,"PULSE OXIMETRY, OVERNIGHT",67
1350,Imaging,CT LUMBAR SPINE W CONTRAST,67
1351,Neurology,EMG WITH NERVE CONDUCTION,67
1352,Outpatient Referral,AMB REFERRAL TO INTERVENTIONAL RADIOLOGY,66
1353,Imaging,CT ORBITS W CONTRAST,66
1354,Imaging,XR SCAPULA RIGHT,66
1355,Consult,IP CONSULT TO PHARMACY-PHARMACOTHERAPY CONS,66
1356,Imaging,XR STERNUM 2+ VW,66
1357,External Education,EDUCATION DIABETES - SMOKING - EMMI,66
1358,Imaging,XR FOOT 2 VW LEFT,66
1359,Imaging,XR UPR GI W ESOPHOGRAM,66
1360,Outpatient Referral,AMB REFERRAL TO CASE MANAGEMENT,65
1361,Precaution,SPINAL PRECAUTIONS,65
1362,Microbiology,GRAM STAIN,65
1363,Lab,GLUTAMIC ACID DECARBOXYLASE ANTIBODY,65
1364,Imaging,XR MYELOGRAM LUMBAR,64
1365,Imaging,CT BIOPSY ABDOMEN,64
1366,Lab,URINALYSIS MICROSCOPY ONLY,64
1367,External Education,EDUCATION C-SECTION - EMMI,63
1368,IV,DISCONTINUE UMBILICAL VENOUS CATH,63
1369,Imaging,XR THORACIC SPINE 1 VW,63
1370,Imaging,US EXT NON VASC  LTD LT,63
1371,External Education,EDUCATION HOSPICE CARE: OPTIONS - EMMI,63
1372,Lab,"METANEPHRINES FRACTIONATED, 24HR URINE",62
1373,Lab,"C1 ESTERASE INHIBITOR, TOT & FUNCTIONAL",62
1374,Microbiology,PNEUMOCYSTIS CARINII SMEAR,62
1375,Imaging,IR ARTERIOGRAM SPINE,62
1376,Lab,SEROTONIN LEVEL,62
1377,Imaging,US EXT NON VASC  LTD RT,62
1378,Imaging,MAMMO BREAST SPECIMEN LT,62
1379,Lab,COLD AGGLUTININS SCREEN WITH REFLEX TO TITER,61
1380,Outpatient Referral,AMB REFERRAL TO SLEEP STUDIES,61
1381,Imaging,IR BILIARY,61
1382,Imaging,XR SCAPULA LEFT,61
1383,Nursing,ICP MONITORING,61
1384,Nursing,CONTRACTION -MONITORING,61
1385,Imaging,US AORTA,61
1386,Nursing,STRAPPING OF TOES,60
1387,Imaging,NM LYMPHOSCINTIGRAPHY,60
1388,Imaging,MRA NECK W WO CONTRAST,60
1389,Imaging,CT BIOPSY RENAL LEFT,60
1390,Lab,BUN,60
1391,Imaging,NM BONE SCAN 3 PHASE,60
1392,Lab,"LYME AB IGG/IGM, CSF W REFLEX WESTERN BLOT",60
1393,Lab,FACTOR VIII ASSAY,59
1394,Imaging,MRI PELVIS W WO CONTRAST,59
1395,Lab,SENSORY MOTOR NEUROPATHY PROFILE,59
1396,Lab,INFLAMMATORY BOWEL DISEASE PANEL,59
1397,Imaging,XR HAND 2 VW RIGHT,58
1398,Nursing,APPLICATION LONG LEG SPLINT,58
1399,Lab,"PROTEIN ELECTROPHORESIS, URINE",58
1400,Imaging,US SPLEEN,57
1401,Imaging,XR HAND 2 VW LEFT,57
1402,Point of Care Testing,POC BLOOD GAS ARTERIAL,57
1403,Imaging,IR VENOUS UPR EXT,56
1404,Nursing,BLADDER PROGRAM,56
1405,Imaging,MRI CERVICAL W CONTRAST,56
1406,Outpatient Referral,AMB REFERRAL TO ENT,56
1407,Imaging,NM BONE SCAN LIMITED AREA,56
1408,Nursing,PATCH EYE,56
1409,Imaging,XR ESOPHAGUS BA SWAL WATER SOL CONT,56
1410,Lab,"HEPATITIS B SURFACE AB, QUANT",55
1411,Imaging,MRI KNEE WO CONTRAST RIGHT,55
1412,Lab,MYCOPLASMA AB IGG/IGM,54
1413,Blood Bank,PRODUCT NEONATAL FRESH FROZEN PLASMA,54
1414,Imaging,MRI THORACIC W CONTRAST,54
1415,PT,PT OVERHEAD FRAME AND TRAPEZE TO PATIENT BED,54
1416,Imaging,MRI SHOULDER WO CONTRAST LEFT,54
1417,Diet,DIET POST TONSILLECTOMY,54
1418,Lab,JCV BY PCR,54
1419,Consult,IP CONSULT TO RADIOLOGY,54
1420,Diet,DIET POTASSIUM CONTROL,54
1421,Lab,"DRUG SCREEN, CORD TISSUE",54
1422,Lab,"ACETONE QUALITATIVE, URINE",54
1423,Procedures,SUPRAPUBIC TUBE PLACEMENT,54
1424,Imaging,XR ERCP BILIARY ONLY,53
1425,Blood Bank,"ABORH, NEONATAL",53
1426,Respiratory Care,"OXYGEN,FACE TENT",53
1427,Lab,"REDUCING SUBSTANCES, STOOL",53
1428,Lab,HEMOCHROMATOSIS GENOTYPE,53
1429,Lab,G6PD QUANTITATIVE,52
1430,Nursing,COUGH AND DEEP BREATHE,52
1431,Imaging,MRI HIP W WO CONTRAST RIGHT,52
1432,Nursing,FOLLOW UP PRIMARY PHYSICIAN,52
1433,Imaging,MRI ABDOMEN WO CONTRAST,52
1434,Nursing,APPLY PROTECTORS,52
1435,Lab,"VZV BY PCR, NON BLOOD",52
1436,Lab,TRANSGLUTAMINASE AB IGG/IGA,52
1437,Nursing,REMOVE SUTURES,52
1438,Nursing,NURSING SWALLOW ASSESSMENT,51
1439,Imaging,XR NOSE TO RECTUM CHILD FOREIGN BODY,51
1440,Lab,"FECAL FAT, TIMED COLLECTION",51
1441,Nursing,FOLLOW PW CAR: ATRIAL FIB / ATRIAL FLUTTER PATHWAY,51
1442,Procedures,ELECTRICAL CARDIOVERSION,51
1443,Diet,DIET PEDIATRIC GENERAL,51
1444,Imaging,CT THORACIC LUMBAR WITH CONTRAST,50
1445,External Education,EDUCATION DIABETES EYE EXAM - EMMI,50
1446,Imaging,MAMMO BREAST SPECIMEN RT,50
1447,Procedures,CASE REQUEST,50
1448,Imaging,XR SKULL COMPLETE 4+ VW,50
1449,Lab,CYCLOSPORINE LEVEL,49
1450,Imaging,US RETROPERITONEAL LIMITED,49
1451,Lab,"VISCOSITY, SERUM",49
1452,Diet,DIET BARIATRIC,49
1453,Lab,VASOACTIVE INTESTINAL POLYPEPTIDE VIP,49
1454,Nursing,REASON FOR NO ANTICOAGULATION THERAPY OVERLAP,48
1455,Imaging,XR ELBOW 2 VW BILAT,48
1456,Imaging,CTA ABD W WO CONTRAST,48
1457,Lab,"PHENYTOIN LEVEL, TOTAL AND FREE",48
1458,Nursing,"FOLLOW INTERDIS PW: STROKE, SUBARACHNOID HEMORRHAGE PATHWAY",48
1459,Nursing,OBTAIN REFERRAL/PRIOR AUTHORIZATION FOR ONCOLOGY TREATMENT,48
1460,Blood Bank,PRODUCT NEONATE FRESH FROZEN PLASMA,48
1461,Imaging,XR RIBS BILAT 3 VW,48
1462,Imaging,XR HIPS BILATERAL 2 VIEWS,47
1463,Nursing,APPLY PRESSURE,47
1464,Microbiology,BORDETELLA DETECTION,47
1465,Nursing,FOLLOW INTERDIS PW: SKIN CARE PREVENTION: PRESSURE INJURY PATHWAY,47
1466,Nursing,MEASURE BLOOD PRESSURE,47
1467,Transfer,ED DIRECT TO CARDIAC CATH,47
