,admitting_diagnosis,count(admitting_diagnosis)
3871,"Carpal tunnel syndrome, unspecified upper limb",3
3872,"Interstitial pulmonary disease, unspecified",3
3873,Restless legs syndrome (RLS),3
3874,"Type I (juvenile type) diabetes mellitus without mention of complication, uncontrolled",3
3875,"Nontoxic goiter, unspecified",3
3876,Amaurosis fugax,3
3877,Anal spasm,3
3878,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified extranodal and solid organ sites",3
3879,"Displaced bicondylar fracture of right tibia, initial encounter for closed fracture",3
3880,"Persistent postoperative fistula, not elsewhere classified",3
3881,"Toxic effect of caustic, unspecified",3
3882,Primary apnea of newborn,3
3883,"Unilateral inguinal hernia, with obstruction, without gangrene, recurrent",3
3884,"Other mechanical complication of intrauterine contraceptive device, initial encounter",3
3885,"Other congenital or acquired abnormality of cervix, antepartum condition or complication",3
3886,"Other fracture of lower end of right tibia, initial encounter for closed fracture",3
3887,Embolism and thrombosis of iliac artery,3
3888,Other specified irregular menstruation,3
3889,Mechanical complication due to automatic implantable cardiac defibrillator,3
3890,Blisters with epidermal loss due to burn (second degree) of unspecified site of hand,3
3891,"Eclampsia, antepartum",3
3892,Chronic or unspecified duodenal ulcer with perforation,3
3893,Other acquired deformity of ankle and foot,3
3894,Other ectopic pregnancy without intrauterine pregnancy,3
3895,Intestinal bypass and anastomosis status,3
3896,"Breakdown (mechanical) of vascular dialysis catheter, initial encounter",3
3897,Other obstruction of duodenum,3
3898,"Infection and inflammatory reaction due to other internal joint prosthesis, initial encounter",3
3899,"Decreased fetal movements, second trimester, fetus 1",3
3900,Unspecified acute reaction to stress,3
3901,Contusion of upper arm,3
3902,Refractory anemia with excess of blasts 1,3
3903,Malignant carcinoid tumor of unknown primary site,3
3904,Spastic entropion of right lower eyelid,3
3905,Poisoning by amphetamines,3
3906,Supraventricular tachycardia,3
3907,Calculus of bile duct with acute cholecystitis with obstruction,3
3908,Benign neoplasm of right ovary,3
3909,Contusion of finger,3
3910,Encounter for cesarean delivery without indication,3
3911,"Benign neoplasm of kidney, except pelvis",3
3912,"Pain due to internal orthopedic prosthetic devices, implants and grafts, subsequent encounter",3
3913,"Insect bite (nonvenomous) of left shoulder, initial encounter",3
3914,Carcinoma in situ of vulva,3
3915,"Burn of first degree of abdominal wall, initial encounter",3
3916,Other specified hypotension,3
3917,Malignant neoplasm of bladder neck,3
3918,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",3
3919,Unspecified nontoxic nodular goiter,3
3920,"Displaced fracture of head of left radius, initial encounter for closed fracture",3
3921,"Injury of digital nerve of left middle finger, initial encounter",3
3922,Obstructive chronic bronchitis with acute bronchitis,3
3923,Loose body in upper arm joint,3
3924,Irradiation cystitis with hematuria,3
3925,"Chronic instability of knee, right knee",3
3926,"Laceration without foreign body of abdominal wall, right lower quadrant without penetration into peritoneal cavity, initial enco",3
3927,"Burn of first degree of left foot, initial encounter",3
3928,"HELLP syndrome (HELLP), third trimester",3
3929,"Alopecia, unspecified",3
3930,"Diffuse large b-cell lymphoma, intrathoracic lymph nodes",3
3931,"Deep phlebothrombosis in pregnancy, unspecified trimester",3
3932,"Complex tear of lateral meniscus, current injury, right knee, initial encounter",3
3933,"Primary osteoarthritis, left wrist",3
3934,Mechanical complication of tracheostomy,3
3935,"Localized osteoarthrosis not specified whether primary or secondary, shoulder region",3
3936,"Secondary osteoarthritis, left shoulder",3
3937,Other specified noninflammatory disorders of vulva and perineum,3
3938,Aphagia,3
3939,"Other spondylosis with myelopathy, lumbar region",3
3940,Neonatal hematemesis and melena due to swallowed maternal blood,3
3941,Hemorrhagic disorder due to extrinsic circulating anticoagulants,3
3942,Inflammatory conditions of jaws,3
3943,Solitary cyst of breast,3
3944,Pain in unspecified ankle and joints of unspecified foot,3
3945,"Bipolar disorder, unspecified",3
3946,Dental caries on smooth surface penetrating into pulp,3
3947,"Diseases of the respiratory system complicating pregnancy, unspecified trimester",3
3948,"Mild or unspecified pre-eclampsia, unspecified as to episode of care",3
3949,Other cervical disc degeneration at C5-C6 level,3
3950,Nontraumatic compartment syndrome of lower extremity,3
3951,Basal cell carcinoma of skin of lip,3
3952,Fitting and adjustment of extracorporeal dialysis catheter,3
3953,"Effusion of joint, other specified site",3
3954,Burn of unspecified degree of upper arm,3
3955,Enterostomy hemorrhage,3
3956,"Other meniscus derangements, unspecified medial meniscus, left knee",3
3957,"Sprain of posterior cruciate ligament of left knee, initial encounter",3
3958,Interstitial cystitis (chronic) with hematuria,3
3959,"Oligohydramnios, unspecified trimester, not applicable or unspecified",3
3960,Malignant neoplasm of pyloric antrum,3
3961,"Foreign body in respiratory tree, unspecified",3
3962,Cholesteatoma of middle ear and mastoid,3
3963,"Pressure ulcer of sacral region, stage 3",3
3964,"Crushing injury of left hand, initial encounter",3
3965,Other specified noninfective gastroenteritis and colitis,3
3966,"Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",3
3967,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament",3
3968,Acute frontal sinusitis,3
3969,"Abrasion of left front wall of thorax, initial encounter",3
3970,Carcinoma in situ of colon,3
3971,Periumbilic abdominal tenderness,3
3972,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified",3
3973,"Twin gestation, dichorionic/diamniotic (two placentae, two amniotic sacs)",3
3974,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,3
3975,"Multiple fractures of ribs, right side, initial encounter for closed fracture",3
3976,"Respiratory disorder, unspecified",3
3977,"Dementia, unspecified, with behavioral disturbance",3
3978,"Malignant neoplasm of connective and soft tissue, unspecified",3
3979,Bariatric surgery status,3
3980,"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture",3
3981,"Hip, thigh, leg, and ankle, superficial foreign body (splinter), without major open wound and without mention of infection",3
3982,"Open wound(s) (multiple) of unspecified site(s), complicated",3
3983,Other specified respiratory disorders,3
3984,"Non-hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",3
3985,"Insect bite (nonvenomous), left foot, initial encounter",3
3986,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, initial encounter",3
3987,"Unspecified adult maltreatment, confirmed, initial encounter",3
3988,"Hallux varus (acquired), left foot",3
3989,Incompetence of cervix,3
3990,Secondary malignant neoplasm of adrenal gland,3
3991,"Hip, thigh, leg, and ankle, blister, without mention of infection",3
3992,"Cushing's syndrome, unspecified",3
3993,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,3
3994,"Colles' fracture of left radius, initial encounter for closed fracture",3
3995,"Bronchopneumonia, organism unspecified",3
3996,"Insect bite (nonvenomous) of left index finger, initial encounter",3
3997,Carcinoma in situ of anus and anal canal,3
3998,Hemangioma of intra-abdominal structures,3
3999,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",3
4000,Eructation,3
4001,Pouchitis,3
4002,High grade squamous intraepithelial lesion on cytologic smear of anus (HGSIL),3
4003,Unspecified inflammatory disease of female pelvic organs and tissues,3
4004,"Encounter for supervision of normal first pregnancy, first trimester",3
4005,Recurrent dislocation of lower leg joint,3
4006,"Spontaneous rupture of flexor tendons, left ankle and foot",3
4007,"Puncture wound without foreign body of right hand, initial encounter",3
4008,Melanoma in situ of scalp and neck,3
4009,"Displaced fracture of lateral malleolus of left fibula, initial encounter for closed fracture",3
4010,Intercostal neuropathy,3
4011,"Vaginal enterocele, congenital or acquired",3
4012,Pathologic fracture of other specified site,3
4013,Other complications of gastric band procedure,3
4014,Diseases of the nervous system complicating childbirth,3
4015,"Unspecified kyphosis, thoracic region",3
4016,"Hypertrophy of bone, left ankle and foot",3
4017,Malignant neoplasm of anterior wall of urinary bladder,3
4018,"Infection following a procedure, subsequent encounter",3
4019,"Malignant neoplasm of anus, unspecified site",3
4020,"Excessive crying of child, adolescent, or adult",3
4021,Claw toe (acquired),3
4022,Other and unspecified disc disorder of thoracic region,3
4023,"Other acute osteomyelitis, right hand",3
4024,"Mild to moderate pre-eclampsia, unspecified trimester",3
4025,Cerebral infarction due to embolism of left posterior cerebral artery,3
4026,Colostomy hemorrhage,3
4027,Spinal stenosis of thoracic region,3
4028,Poisoning by psychodysleptics (hallucinogens),3
4029,"Laceration without foreign body of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial enco",3
4030,Hypovolemic shock,3
4031,Monocytosis (symptomatic),3
4032,"Pressure ulcer, buttock",3
4033,Loose body in right ankle,3
4034,"Paralytic syndrome, unspecified",3
4035,Acute and subacute bacterial endocarditis,3
4036,Abscess of left external ear,3
4037,"Spinal stenosis, unspecified region other than cervical",3
4038,"Edema of left eye, unspecified eyelid",3
4039,Unilateral or unspecified femoral hernia with obstruction,3
4040,"Other idiopathic scoliosis, lumbosacral region",3
4041,Dysplasia of anus,3
4042,"Unspecified fracture of t9-t10 vertebra, initial encounter for closed fracture",3
4043,Person with feared complaint in whom no diagnosis was made,3
4044,Other specified pruritic conditions,3
4045,Saddle embolus of pulmonary artery,3
4046,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,3
4047,Acute hepatitis C without hepatic coma,3
4048,"Insect bite (nonvenomous) of left elbow, initial encounter",3
4049,Malignant neoplasm of trigone of bladder,3
4050,Helicobacter pylori (H. pylori),3
4051,"Child sexual abuse, suspected, initial encounter",3
4052,Medial epicondylitis of elbow,3
4053,"Pre-existing essential hypertension complicating pregnancy, second trimester",3
4054,Open fracture of multiple sites of mandible,3
4055,Irritable bowel syndrome with diarrhea,3
4056,"Laceration without foreign body of vagina and vulva, initial encounter",3
4057,Other infections with a predominantly sexual mode of transmission complicating childbirth,3
4058,"Zygomatic fracture, unspecified side, initial encounter for closed fracture",3
4059,"Collapsed vertebra, not elsewhere classified, lumbar region, sequela of fracture",3
4060,Benign neoplasm of bones of skull and face,3
4061,Malignant neoplasm of connective and other soft tissue of abdomen,3
4062,"Allergic rhinitis, unspecified",3
4063,"Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for closed fracture",3
4064,"Abrasion, left lesser toe(s), initial encounter",3
4065,Encounter for routine postpartum follow-up,3
4066,"Sprain of anterior cruciate ligament of left knee, subsequent encounter",3
4067,"Unspecified hearing loss, bilateral",3
4068,Crohn's disease of both small and large intestine with intestinal obstruction,3
4069,"Adult physical abuse, confirmed, initial encounter",3
4070,Malignant hypertensive kidney disease with chronic kidney disease stage V or end stage renal disease,3
4071,"Displaced comminuted fracture of shaft of humerus, right arm, initial encounter for closed fracture",3
4072,"Anemia of mother, with delivery",3
4073,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction",3
4074,Malignant neoplasm of upper-outer quadrant of unspecified female breast,3
4075,Flatulence,3
4076,"Other specified disorders of Eustachian tube, unspecified ear",3
4077,Unspecified ptosis of bilateral eyelids,3
4078,"Generalized osteoarthrosis, unspecified site",3
4079,"Follicular lymphoma grade I, unspecified site",3
4080,Other lesion of median nerve,3
4081,Neuromyelitis optica,2
4082,Benign neoplasm of brain,2
4083,"Infection of intervertebral disc (pyogenic), lumbar region",2
4084,Unspecified sensorineural hearing loss,2
4085,"Gonococcal infection, unspecified",2
4086,"Ganglion, unspecified wrist",2
4087,Encounter for screening for malignant neoplasm of rectum,2
4088,"Twin pregnancy, delivered",2
4089,Orbital cellulitis,2
4090,Cerebral infarction due to thrombosis of left vertebral artery,2
4091,"Unilateral inguinal hernia, with gangrene, recurrent",2
4092,Streptococcal pharyngitis,2
4093,"Crushing injury of right foot, initial encounter",2
4094,Contact dermatitis and other eczema due to plants (except food),2
4095,Acute dacryocystitis,2
4096,"Burn of second degree of multiple left fingers (nail), not including thumb, initial encounter",2
4097,"Staphylococcal septicemia, unspecified",2
4098,"Other specified disorders of middle ear and mastoid, bilateral",2
4099,"Juvenile osteochondrosis of tarsus, left ankle",2
4100,"Displaced fracture of greater tuberosity of left humerus, initial encounter for closed fracture",2
4101,"Conduct disorder, unspecified",2
4102,Closed fracture of supracondylar humerus,2
4103,Encounter for observation for suspected toxic effect from ingested substance ruled out,2
4104,"Poor fetal growth, affecting management of mother, unspecified as to episode of care",2
4105,"Diabetes mellitus of mother, with delivery",2
4106,"Poisoning by other antidepressants, intentional self-harm, initial encounter",2
4107,"Sickle-cell disease, unspecified",2
4108,"Polyarthritis, unspecified",2
4109,Pediculosis due to pediculus humanus capitis,2
4110,"Preterm newborn, gestational age 34 completed weeks",2
4111,Other endometriosis,2
4112,"Other mechanical complication of internal fixation device of bone of right forearm, initial encounter",2
4113,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",2
4114,Vulvar intraepithelial neoplasia II (VIN II),2
4115,Cellulitis of right toe,2
4116,Pallor,2
4117,"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses",2
4118,"Hemorrhoids in pregnancy, unspecified trimester",2
4119,"Type I (juvenile type) diabetes mellitus with neurological manifestations, not stated as uncontrolled",2
4120,Closed fracture of shaft of radius with ulna,2
4121,"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, with no loss of consciousness",2
4122,"Cervical disc disorder with myelopathy, mid-cervical region, unspecified level",2
4123,"Ocular pain, unspecified eye",2
4124,Obstructed labor due to unusually large fetus,2
4125,"Toxic effect of other organic solvents, accidental (unintentional), initial encounter",2
4126,Crohn's disease of both small and large intestine with fistula,2
4127,Ileostomy status,2
4128,"Stiffness of joint, not elsewhere classified, other specified site",2
4129,"Unspecified injury of unspecified foot, initial encounter",2
4130,"Opioid abuse, unspecified",2
4131,"Abrasion of left middle finger, initial encounter",2
4132,Congenital malformation of knee,2
4133,Low grade myelodysplastic syndrome lesions,2
4134,Contusion of toe,2
4135,Radial blood vessels injury,2
4136,"Other osteomyelitis, hand",2
4137,"Partial traumatic metacarpophalangeal amputation of unspecified finger, initial encounter",2
4138,Other malignant lymphomas of spleen,2
4139,"Open wound of multiple sites of shoulder and upper arm, without mention of complication",2
4140,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter",2
4141,Cutaneous abscess of other sites,2
4142,Malignant melanoma of right ear and external auricular canal,2
4143,"Burn of other and multiple sites of trunk, unspecified degree",2
4144,Unspecified ankle and foot joint derangement,2
4145,"Derangement of anterior horn of lateral meniscus due to old tear or injury, right knee",2
4146,"Laceration without foreign body of abdominal wall, left lower quadrant without penetration into peritoneal cavity, initial encou",2
4147,Open trimalleolar fracture,2
4148,"Benign neoplasm of connective and other soft tissue of head, face and neck",2
4149,"Unspecified purulent endophthalmitis, right eye",2
4150,"Abrasion of right shoulder, initial encounter",2
4151,"Unspecified open wound of left front wall of thorax without penetration into thoracic cavity, initial encounter",2
4152,"Laboratory examination, unspecified",2
4153,Supervision of high-risk pregnancy of elderly primigravida,2
4154,Personal history of urinary (tract) infection,2
4155,Cerebral infarction due to embolism of right posterior cerebral artery,2
4156,"Superior glenoid labrum lesion of right shoulder, subsequent encounter",2
4157,Acute bronchitis,2
4158,"Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",2
4159,"Abrasion of lip, initial encounter",2
4160,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies,2
4161,"Closed dislocation, multiple and ill-defined sites",2
4162,"Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder",2
4163,"Stiffness of joint, not elsewhere classified,  shoulder region",2
4164,"Autoimmune disease, not elsewhere classified",2
4165,"Senile cataract, unspecified",2
4166,"Effusion, unspecified joint",2
4167,Nodular prostate with lower urinary tract symptoms,2
4168,Iatrogenic pulmonary embolism and infarction,2
4169,"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter",2
4170,Peri-prosthetic osteolysis,2
4171,"Maternal care for other isoimmunization, third trimester, not applicable or unspecified",2
4172,"Other chronic osteomyelitis, right thigh",2
4173,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture",2
4174,"Other preterm infants, 2,500 or more grams",2
4175,Stridor,2
4176,Epididymitis,2
4177,"Leakage of other vascular grafts, initial encounter",2
4178,"Abnormal radiologic findings on diagnostic imaging of renal pelvis, ureter, or bladder",2
4179,"Sprain of other part of right wrist and hand, initial encounter",2
4180,Malignant neoplasm of tail of pancreas,2
4181,Giant cell arteritis,2
4182,"Maternal care for other isoimmunization, unspecified trimester, not applicable or unspecified",2
4183,"Third-stage postpartum hemorrhage, postpartum",2
4184,"Polydactyly, unspecified",2
4185,"Light-for-dates without mention of fetal malnutrition, unspecified (weight)",2
4186,Acute embolism and thrombosis of right popliteal vein,2
4187,"Fracture of unspecified part of right clavicle, initial encounter for closed fracture",2
4188,"Mental disorders of mother, postpartum",2
4189,Other specified sites of sprains and strains,2
4190,"Other specified joint disorders, right hand",2
4191,"Unspecified inflammatory spondylopathy, site unspecified",2
4192,"Nondependent amphetamine or related acting sympathomimetic abuse, unspecified",2
4193,"Unspecified fracture of sacrum, subsequent encounter for fracture with routine healing",2
4194,Aftercare following joint replacement,2
4195,Contusion of unspecified site,2
4196,Other specified diseases of appendix,2
4197,"Osteomyelitis of vertebra, lumbosacral region",2
4198,"Ulcerative colitis, unspecified with rectal bleeding",2
4199,Other hemochromatosis,2
4200,"Central perforation of tympanic membrane, right ear",2
4201,Brachial plexus disorders,2
4202,"Burn of second degree of right forearm, initial encounter",2
4203,"Contusion of unspecified part of neck, initial encounter",2
4204,"Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",2
4205,Other specified erythematous conditions,2
4206,Unspecified functional disorder of stomach,2
4207,"Malignant hypertensive kidney disease with chronic kidney disease stage I through stage IV, or unspecified",2
4208,Abscess of intestine,2
4209,Acute and chronic respiratory failure following trauma and surgery,2
4210,"Thoracogenic scoliosis, thoracolumbar region",2
4211,Mastocytosis,2
4212,Sunburn of second degree,2
4213,Alcohol-induced chronic pancreatitis,2
4214,Sickle-cell/Hb-C disease with crisis,2
4215,Pain in unspecified lower leg,2
4216,Hemothorax,2
4217,"Edema or excessive weight gain, postpartum condition or complication",2
4218,"Malignant neoplasm of small intestine, unspecified",2
4219,"Derangement of unspecified medial meniscus due to old tear or injury, left knee",2
4220,Postnasal drip,2
4221,Ataxic gait,2
4222,Fitting and adjustment of gastric lap band,2
4223,Contusion of eyelids and periocular area,2
4224,"Nodular lymphocyte predominant hodgkin lymphoma, intrathoracic lymph nodes",2
4225,"Merkel cell carcinoma of left lower limb, including hip",2
4226,Cyst of epididymis,2
4227,"Strain of muscle, fascia and tendon of triceps, right arm, initial encounter",2
4228,Closed fracture of surgical neck of humerus,2
4229,Stress fracture of other bone,2
4230,Closed fracture of base of other metacarpal bone(s),2
4231,Contusion of unspecified part of trunk,2
4232,"Unspecified sprain of right hip, initial encounter",2
4233,"Psoriasis, unspecified",2
4234,Delayed or excessive hemorrhage following incomplete spontaneous abortion,2
4235,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, brief (less than one hour) loss of cons",2
4236,Nonspecific reaction to tuberculin skin test without active tuberculosis,2
4237,"Congenital anomalies of foot, not elsewhere classified",2
4238,"Displaced comminuted fracture of shaft of left tibia, initial encounter for closed fracture",2
4239,"Chondromalacia, right elbow",2
4240,"Spontaneous rupture of flexor tendons, right lower leg",2
4241,"Toxic effect of venom of wasps, undetermined, initial encounter",2
4242,"Other preterm infants, 1,000-1,249 grams",2
4243,Sprain and strain of other specified sites of elbow and forearm,2
4244,Other specified septicemia,2
4245,"Superficial foreign body of left hand, initial encounter",2
4246,"Lymphangioma, any site",2
4247,Vascular disorders of male genital organs,2
4248,Non-pressure chronic ulcer of other part of right foot with necrosis of bone,2
4249,Incomplete spontaneous abortion with unspecified complication,2
4250,Concussion with no loss of consciousness,2
4251,Effusion of hand joint,2
4252,"Trochanteric bursitis, right hip",2
4253,Presence of right artificial knee joint,2
4254,"Other foreign object in esophagus causing other injury, initial encounter",2
4255,"Unspecified foreign body in respiratory tract, part unspecified causing other injury, initial encounter",2
4256,"Preterm labor second trimester with preterm delivery third trimester, not applicable or unspecified",2
4257,Poisoning by cocaine,2
4258,"Displaced spiral fracture of shaft of humerus, right arm, initial encounter for closed fracture",2
4259,Renal dialysis status,2
4260,Malignant neoplasm of long bones of right lower limb,2
4261,"Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter",2
4262,"Insect bite (nonvenomous) of unspecified back wall of thorax, initial encounter",2
4263,Bicornate uterus,2
4264,Acute gastric ulcer with hemorrhage,2
4265,"Bennett's fracture, right hand, initial encounter for closed fracture",2
4266,"Traumatic compartment syndrome of left lower extremity, initial encounter",2
4267,"Homonymous bilateral field defects, right side",2
4268,"Toxic effect of unspecified snake venom, accidental (unintentional), initial encounter",2
4269,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester",2
4270,"Anoxic brain damage, not elsewhere classified",2
4271,"Fracture of mandible, unspecified, initial encounter for closed fracture",2
4272,Chronic glomerulonephritis with lesion of membranous glomerulonephritis,2
4273,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for closed fracture",2
4274,"Laceration without foreign body of right shoulder, initial encounter",2
4275,Primary adrenocortical insufficiency,2
4276,Abnormal feces,2
4277,"Lesion of sciatic nerve, unspecified lower limb",2
4278,Non-pressure chronic ulcer of other part of right foot with necrosis of muscle,2
4279,"Other idiopathic scoliosis, thoracic region",2
4280,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester",2
4281,"Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated",2
4282,Calculus of gallbladder with other cholecystitis without obstruction,2
4283,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues,2
4284,"Displaced fracture of base of second metacarpal bone, right hand, initial encounter for closed fracture",2
4285,"Pain in joint, other specified sites",2
4286,Aftercare following joint replacement surgery,2
4287,Postprocedural hemorrhage of a musculoskeletal structure following other procedure,2
4288,Angiodysplasia of intestine (without mention of hemorrhage),2
4289,"Disorder of penis, unspecified",2
4290,"Superficial foreign body of right ear, initial encounter",2
4291,Acquired absence of breast and nipple,2
4292,Other maternal viral disease with delivery,2
4293,Other specified diseases of spinal cord,2
4294,Malignant neoplasm of upper-inner quadrant of unspecified female breast,2
4295,"Other bursal cyst, right hand",2
4296,"Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial encounter",2
4297,"Other specified joint disorders, right ankle and foot",2
4298,Encounter for adjustment or removal of myringotomy device (stent) (tube),2
4299,"Adverse effect of selective serotonin reuptake inhibitors, initial encounter",2
4300,"Other specified hearing loss, unspecified ear",2
4301,Encounter for attention to other artificial openings of digestive tract,2
4302,Closed fracture of other and unspecified part of body of mandible,2
4303,"Strain of muscle, fascia and tendon at neck level, initial encounter",2
4304,Malignant neoplasm of unspecified ovary,2
4305,"Allergy, unspecified, subsequent encounter",2
4306,"Open wound of upper arm, complicated",2
4307,"Mid-cervical disc disorder, unspecified",2
4308,Complex regional pain syndrome i of right upper limb,2
4309,Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg,2
4310,"Central perforation of tympanic membrane, bilateral",2
4311,Cyanotic attacks of newborn,2
4312,Psychophysical visual disturbances,2
4313,"Recurrent dislocation, left shoulder",2
4314,Bladder and urethra injury without mention of open wound into cavity,2
4315,Polyp of vocal cord or larynx,2
4316,Benign neoplasm of scapula and long bones of left upper limb,2
4317,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",2
4318,Esophageal varices with bleeding,2
4319,Poisoning by coronary vasodilators,2
4320,"Gestational (pregnancy-induced) hypertension without significant proteinuria, complicating the puerperium",2
4321,"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture",2
4322,Peyronie's disease,2
4323,Incompetence of cervix uteri,2
4324,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",2
4325,Patellar tendinitis,2
4326,Merkel cell carcinoma of the lower limb,2
4327,"Multiple and unspecified open wound of lower limb, complicated",2
4328,Irradiation cystitis without hematuria,2
4329,"Unilateral post-traumatic osteoarthritis, right knee",2
4330,"Mental disorders of mother, with delivery",2
4331,Malignant neoplasm of spinal cord,2
4332,"Arteritis, unspecified",2
4333,"Suppurative otitis media, unspecified, left ear",2
4334,"Mechanical complication due to other tissue graft, not elsewhere classified",2
4335,"Lymphadenitis, unspecified, except mesenteric",2
4336,Spermatocele,2
4337,"Acute lymphoid leukemia, without mention of having achieved remission",2
4338,Pyogenic granuloma of skin and subcutaneous tissue,2
4339,"Benign essential hypertension, previous postpartum complication",2
4340,Congenital malformations of other endocrine glands,2
4341,"Adverse effect of benzodiazepines, initial encounter",2
4342,"Malignant neoplasm of middle lobe, bronchus or lung",2
4343,"Other specified arthropathy, shoulder region",2
4344,"Basal cell carcinoma of skin, unspecified",2
4345,"Unspecified displaced fracture of surgical neck of right humerus, initial encounter for closed fracture",2
4346,Streptococcal septicemia,2
4347,Pre-existing essential hypertension complicating childbirth,2
4348,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester",2
4349,"Strain of left quadriceps muscle, fascia and tendon, initial encounter",2
4350,"Unspecified venous complication, antepartum",2
4351,Homicidal ideations,2
4352,"Unspecified dislocation of left shoulder joint, initial encounter",2
4353,Bursitis of left shoulder,2
4354,Personal history of unspecified malignant neoplasm,2
4355,"Elderly primigravida, unspecified as to episode of care",2
4356,Unspecified conductive hearing loss,2
4357,Blisters with epidermal loss due to burn (second degree) of knee,2
4358,Septate uterus,2
4359,Alcohol abuse with intoxication delirium,2
4360,"Other superficial bite of hand of right hand, initial encounter",2
4361,Burn of unspecified degree of multiple sites of wrist(s) and hand(s),2
4362,"Open fracture of metacarpal bone(s), site unspecified",2
4363,"Extreme fetal immaturity, 500-749 grams",2
4364,Closed fracture of unspecified part of radius with ulna,2
4365,"Allergic rhinitis, cause unspecified",2
4366,Benign carcinoid tumor of other sites,2
4367,Other nonspecific abnormal result of function study of brain and central nervous system,2
4368,"Closed fracture of base of skull with cerebral laceration and contusion, loss of consciousness of unspecified duration",2
4369,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm,2
4370,"Follicular lymphoma grade i, intra-abdominal lymph nodes",2
4371,"Displaced fracture of lateral malleolus of left fibula, subsequent encounter for closed fracture with nonunion",2
4372,Calculus of bile duct with acute cholecystitis without mention of obstruction,2
4373,"Melanocytic nevi, unspecified",2
4374,"Open bite of left thumb without damage to nail, initial encounter",2
4375,"Foreign body in small intestine, initial encounter",2
4376,Closed fracture of greater tuberosity of humerus,2
4377,Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb,2
4378,"Squamous cell carcinoma of skin of right lower limb, including hip",2
4379,"Transient arthropathy, shoulder region",2
4380,"Closed fracture of base of skull without mention of intracranial injury, unspecified state of consciousness",2
4381,"Burn of second degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter",2
4382,Other benign neoplasm of connective and other soft tissue of abdomen,2
4383,"Elbow, forearm, and wrist, superficial foreign body (splinter), without major open wound and without mention of infection",2
4384,"Complete rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic",2
4385,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites",2
4386,Other specified counseling,2
4387,Lipodystrophy,2
4388,Unspecified inflammation of eyelid,2
4389,"Other specified joint disorders, left ankle and foot",2
4390,"Neoplasms of unspecified nature, other specified sites",2
4391,Burn of unspecified degree of shoulder,2
4392,Unspecified abnormal involuntary movements,2
4393,Other disorders of breast associated with pregnancy and the puerperium,2
4394,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",2
4395,"Other chronic suppurative otitis media, bilateral",2
4396,Long term (current) use of anticoagulants,2
4397,"Nonscarring hair loss, unspecified",2
4398,"Other bursitis of hip, unspecified hip",2
4399,"Unspecified injury of right forearm, subsequent encounter",2
4400,Other disorders of phosphorus metabolism,2
4401,"Toxic effect of venom of other north and south American snake, accidental (unintentional), initial encounter",2
4402,Other anaphylactic reaction,2
4403,Tight hymenal ring,2
